"No.","Time","Source","Destination","Protocol","Length","Info"
"17049","37.335561634","HonHaiPr_e3:e6:87","Broadcast","802.11","259","Probe Request, SN=890, FN=0, Flags=........, SSID=Broadcast"
"17081","37.368530644","HonHaiPr_e3:e6:87","Broadcast","802.11","259","Probe Request, SN=891, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"17760","38.952257695","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3738, FN=0, Flags=........, SSID=NUST"
"18144","40.065854082","Apple_4a:a0:c1","Broadcast","802.11","278","Probe Request, SN=462, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"18356","41.447343254","22:48:9a:aa:ea:ff","Broadcast","802.11","218","Probe Request, SN=960, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"18358","41.465387878","22:48:9a:aa:ea:ff","Broadcast","802.11","218","Probe Request, SN=961, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"18381","41.895150377","SamsungE_d9:1d:28","Broadcast","802.11","287","Probe Request, SN=209, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"18412","42.060505606","22:48:9a:aa:ea:ff","Broadcast","802.11","218","Probe Request, SN=965, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"18583","42.857109132","Apple_cc:d4:b8","Broadcast","802.11","268","Probe Request, SN=2576, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"18619","42.959478120","Apple_cc:d4:b8","Broadcast","802.11","268","Probe Request, SN=2584, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"18749","43.561219757","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=482, FN=0, Flags=........, SSID=NUST"
"18750","43.562287846","SamsungE_08:5a:36","Broadcast","802.11","253","Probe Request, SN=483, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"18888","44.014950905","SamsungE_52:a4:a1","Broadcast","802.11","239","Probe Request, SN=2191, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"18909","44.064490166","SamsungE_52:a4:a1","Broadcast","802.11","239","Probe Request, SN=2192, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"18924","44.093999172","SamsungE_52:a4:a1","Broadcast","802.11","239","Probe Request, SN=2193, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"19227","45.165821453","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=725, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"19228","45.206979439","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=726, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"19337","46.263609807","SamsungE_d9:1d:28","Broadcast","802.11","273","Probe Request, SN=256, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"19412","46.427833835","SamsungE_d9:1d:28","Broadcast","802.11","273","Probe Request, SN=263, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"19577","46.692389909","HuaweiTe_0d:ab:54","Broadcast","802.11","395","Probe Request, SN=1142, FN=0, Flags=........, SSID=device[Malformed Packet]"
"19626","46.771927208","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=741, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"19921","47.089454882","HonHaiPr_aa:ea:ff","Broadcast","802.11","194","Probe Request, SN=746, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
